4339
Accounting and Finance - MSc
University of Birmingham
University of Birmingham
Full time
Invest in a global career and reshape the future with our MSc Accounting and Finance
September
Please see the university website for further information on fees for this course.
MSc
1 Year Full Time
Birmingham
United Kingdom
On Campus
https://www.findamasters.com/masters-degrees/course/accounting-and-finance-msc/?i282d4294c70599
